user,majorContributor,responses,topics,avgNumberOfResponsesPerTopic,avgNumberOfResponsesBeforeResponse,avgNumberOfResponsesAfterResponse,entropy,yearJoined,firstDayResponse,avgGap,avgStd
jody_davis,0,3,0,0,0,0,0.729163319,5,3,1,9.104333523
jody_jervis,0,3,0,0,0,0,1.054590931,2,58,19.33333333,8.524474568
joe8,1,2,3,0,0,0,0.998939639,2,21,4.2,10.94714575
joe_greene,0,5,0,0,0,0,0.825275481,4,13,14.2,31.4960315
joe_h1,0,5,1,0,0,0,1.744600202,2,8,7.166666667,14.052481
joe_milam,0,18,3,0,0,0,2.417308955,1,4,0.380952381,2.458729646
joecalcanectomy,0,1,1,1,1,2,0.178019898,5,28,14.5,0.5
joel_russell,0,6,0,0,0,0,2.088506498,1,19,3.166666667,22.16416026
joel_spencer,0,7,0,0,55.71428571,57,1.573707473,0,19,4.428571429,9.310954707
johannalynn,0,4,0,0,8.5,15,1.392337665,5,36,9,9.908960591
john28,0,5,0,0,0,0,1.060750492,3,26,5.4,7.812809994
john4,0,1,1,0,0,0,0.178019898,0,0,4,4
john52,0,6,0,0,0,0,2.187489958,6,7,1.166666667,13.60657521
john53,0,6,1,13,0,78,2.187489958,6,4,0.571428571,0
john6,0,7,1,0,0,0,0.348084416,1,133,17.75,3.018174117
john9,1,11,2,0,0,0,3.020553876,1,3,0.307692308,5.358176851
john_carlton,1,2,0,0,0,0,0.650855223,3,20,10,0.5
john_g,0,4,0,0,0,0,1.369680861,6,8,2,44.77443467
john_henry,0,2,0,0,0,0,0.712666076,2,5,2.5,19
john_owen_jones,1,1,1,0,0,14,0.542601557,2,7,4,0.5
john_p,0,8,0,0,0,0,1.73387868,6,36,4.625,23.46140448
john_pierson,0,2,1,6,19,83,0.356039795,2,0,1.333333333,9.56846673
john_sjolund,0,2,0,0,0,0,0.493688308,5,6,3,11.5
john_washbourne,0,1,1,0,0,0,0.178019898,3,48,24,0
johnhindepost,1,1,0,0,197,75,0.129106649,8,7,7,0
johnnyjumpstart,1,0,1,0.142857143,0,0,0.348084416,3,19,19,0
jojo55,0,5,0,0,14.2,10.6,0.258213298,3,19,3.8,2.449489743
jojo6,1,8,1,0.5,14.25,20.125,1.767257007,3,17,4.111111111,8.447367915
jolaha,1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363
jon2,0,2,0,0,0,0,0,2,9,4.5,10.5
jon_schlaman,0,2,0,0,0,0,0.650855223,0,29,14.5,5.5
jonathan15,0,1,1,0,0,0,0.348084416,6,4,6.5,4.5
jonathan9,0,19,4,0,0,0,3.50653523,2,28,1.304347826,28.74587173
jonathan_stl,0,7,0,0,0,0,1.756911321,3,3,0.428571429,24.22429207
jonathao,0,0,1,1,0,0,0.325427612,4,0,0,0
jones1,0,2,0,0,0,9,0.36458166,3,20,10,3.5
joni6,0,12,1,0,0,0,3.119215283,4,96,10,16.44031702
jonna,1,11,2,0,0,0,3.592768368,0,0,2.846153846,20.30594398
jonna1,0,5,1,0,0,0,1.130347572,4,3,1.5,2.828427125
jonny_senchisen,0,3,0,0,0,0,1.021596444,3,44,14.66666667,9.428090416
jordan_peters,0,2,0,0,0,0,0.36458166,1,5,11.5,9
jordana_rosenberg,0,3,1,0,0,0,0.387319946,1,0,9,31.33987077
jorg1,1,3,0,0,0,0,0.325427612,6,13,21.66666667,24.51303508
jorunco,0,10,0,0,0,0,2.66800081,6,2,2.6,24.93692042
jorychi,0,3,1,0,0,0,0.583640909,5,3,1.25,33.64056331
joseph_mathew,1,0,0,8,0,0,0,2,3.874194056,1.889718175,3.779269363
jovigil0525,0,2,0,0,1.5,6,0.712666076,6,3,9.5,8
joy10,1,0,0,0,0,0,0,4,3.874194056,1.889718175,3.779269363
joybug,0,4,0,0,3,13,0.868029169,3,17,4.25,25.07364154
joyce6,1,2,0,0,0,0,0.690009271,3,32,16,12.5
jt111,1,0,0,0,0,0,0,7,3.874194056,1.889718175,3.779269363
jtausch,0,9,1,0,0,0,1.060750492,5,4,0.4,14.738046
jude,0,5,3,0,0,0,1.060750492,2,111,19.25,22.77025197
judy18,0,7,2,0,0,0,1.662228027,6,4,6,39.48683169
jujubee,0,2,0,0,0,0,0.650855223,5,9,4.5,10
julianne2,0,3,0,0,0,0,0.729163319,6,5,4.333333333,3.771236166
julie11,1,5,1,0,0,0,0.712666076,2,3,0.5,22.92318089
julie3,1,0,0,0,0,0,0,0,3.874194056,1.889718175,3.779269363
julie5,0,5,1,0,0,0,1.363521299,1,30,5.333333333,21.50968774
julie_bedingfield,0,0,1,0,0,0,0.325427612,2,0,0,0
julie_wettstein,1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363
julie_wright,1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363
julieann,0,10,2,0,0,0,1.439361632,2,3,2.416666667,35.06620722
just_little_me,0,7,5,0,0,0,2.356301377,0,2,1.833333333,23.95423878
just_me,0,13,3,0,0,0,2.617607021,1,2,0.125,12.80868846
k114,1,1,0,0,0,0,0.36458166,5,9,9,0
kaayle,1,0,12,0,0,0,2.155766897,3,6,0.5,12.05168269
kae,1,2,1,1.5,0,228,0.83922348,4,5,1.666666667,0
kalee_crespin,1,11,1,0,0,0,3.474684602,0,1,1.166666667,65.21689241
kara_dalton,0,4,4,7,13,4,1.380018542,2,7,3.5,9.027735043
karazk,0,2,0,0,3.5,18,0.690009271,6,2,1,4
karen20,1,2,0,0,0,0,0.712666076,2,10,5,0
karen25,0,1,1,0,0,0,0.348084416,2,1,9,8.5
karen35,0,4,1,0,0,0,1.458326639,4,7,1.4,0
karen46,0,1,1,0,0,0,0.325427612,6,21,10.5,25
karen_la_roche,0,9,0,0,0,0,2.430431353,2,3,0.333333333,88.46733372
kareno,0,3,0,0,0,0,1.044253249,6,29,9.666666667,0.942809042
karenrobbins,0,0,1,6,0,0,0.325427612,3,0,0,0
kari3,0,2,1,0,0,0,0.696168833,5,17,6,0.471404521
karl,0,5,0,0,0,0,1.509125191,1,11,2.2,46.55491381
karlye72,0,25,0,0,37.28,44.58333333,2.390205639,4,5,0.2,65.63962218
kate16,0,1,1,0,0,0,0.36458166,3,19,22,12.5
kate6,0,0,1,0,0,0,0.36458166,1,23,23,0
kate_matthews,0,0,2,0,0,0,0.650855223,7,0,0,0
katey1,1,0,0,0,0,0,0,4,3.874194056,1.889718175,3.779269363
kathy19,1,1,0,0,0,0,0.143054647,2,5,5,0
kathy24,0,8,1,0,0,0,2.900156034,3,4,0.555555556,1.133115447
kathy_lincoln,0,2,3,1.4,4,1.5,0.696168833,1,0,2.8,18.0930926
kathyjh,0,3,1,3,46.33333333,30,1.419172591,6,3,1.75,3.570714214
kathyl,0,8,1,0,0,0,1.424159182,6,20,2.222222222,18.02741397
kati_celeste_leggett,0,2,2,0,0,0,0.468482259,2,21,5.25,0
katie18,0,3,0,0,0,0,1.015436883,3,6,9.666666667,10.61445555
katie24,1,10,1,0,0,0,0.068919535,5,19,4.090909091,7.474474469
katie_smith,0,22,12,0,0,0,5.279114216,2,0,0.176470588,55.15941038
katie_tucker,0,5,1,0,0,0,1.672451667,2,5,1.166666667,1.462494065
katkat,1,6,0,0,0,0,2.088506498,5,14,2.333333333,31.57750606
katliwidia,0,3,1,28,107.3333333,380,0.841772725,4,1,29.25,54.54527936
katrina_schindler,0,26,1,0,0,0,4.210985523,1,24,0.888888889,66.08711049
katrinalavis,0,2,1,0,0,0,0.729163319,5,8,2.666666667,11.78511302
katy,0,5,0,0,0,0,0.344597674,4,77,15.4,33.82543422
kayla3,0,2,0,0,0,0,0.542601557,2,2,1,5.5
kaymore,1,2,1,10,0,40,0.729163319,6,30,10,0
kc_o_pod,1,2,0,0,0,0,0.348084416,1,144,72,0
kchannell,0,7,0,0,90.71428571,110.5714286,2.469585401,3,8,7,18.52191201
kelleigh,1,2,2,0,0,0,0.673512028,5,31,7.75,6.062177826
kelli2,0,2,1,0,0,0,0.868029169,1,7,2.666666667,0.471404521
kelly16,0,4,2,0,0,0,1.402675347,2,1,1.333333333,22.85947409
kelly20,0,4,2,0,0,0,1.441829395,3,13,2.166666667,9.736814446
kelly21,1,13,2,0,0,0,1.441910877,3,0,1.2,10.32666451
kelly28,0,10,2,0,0,0,2.187489958,5,3,1.833333333,8.668269083
kelly35,0,18,1,0,0,0,5.215106684,6,61,5.842105263,12.37704067
kellyann,0,8,0,0,94.5,54.375,1.093744979,6,9,2.375,15.70380129
kellyone,1,17,1,0.5,227.4117647,85.70588235,6.049413024,3,39,2.166666667,18.0076287
ken_a,0,4,1,0,0,0,1.015436883,2,3,0.6,19.80303007
ken_baumann,0,1,2,0,0,0,0.325427612,2,2,5.333333333,6.599663291
kendall_price,0,1,1,0,0,0,0.712666076,1,1,1,0.5
kendyl,1,0,1,0,0,0,0.068919535,5,32,32,0
kene,0,1,1,3,14,4,0.307126547,6,2,1,2.5
kenneth_morrison,0,2,1,0,0,0,0.729163319,2,10,3.333333333,0
kenneyfamily,0,1,1,6,5,1,0.348084416,5,5,4,1.5
kenny4,0,2,0,0,0,0,0.673512028,6,1,0.5,3.5
kerri_sparling,1,1,0,0,0,0,0.325427612,0,6,6,0
kerrita_mcclaughlyn,0,0,0,0,0,0,0,1,3.874194056,1.889718175,3.779269363
kevin_donovan,0,5,4,0,0,0,1.386178104,1,19,17.33333333,43.31823099
kevin_smith,0,3,5,0,0,0,0.650855223,2,0,0.875,3.179524335
kick,0,0,1,0,0,0,0.325427612,3,14,14,0
kids_for_cure,0,9,5,3,18.77777778,20,2.182637219,3,4,0.357142857,19.88076704
kiersten,0,5,15,0,0,0,1.666292106,1,3,0.55,39.7861785
kiki,0,2,0,0,0,0,0.108751128,6,2,1,6.5
kim13,1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363
kim14,1,8,0,0,0,0,1.570936044,3,27,6.125,14.61965714
kim25,0,8,0,0,0,0,1.991957848,4,36,4.5,14.30908802
kim_b,0,11,2,0,0,0,1.700042693,2,61,10.07692308,31.81231945
kim_feltner,0,1,1,26,414,1638,0.348084416,2,0,2,2
kim_moores,0,3,1,0,0,0,1.044253249,2,2,0.5,3.031088913
kimberly_w,0,3,0,0,0,0,1.077247736,1,3,2.666666667,2.357022604
kiminee,0,7,2,0,0,0,0.670699859,5,2,11.77777778,49.88208318
kimk,1,3,0,0,0,0,0.712666076,4,18,6,0
kimmy1,0,2,1,0,0,0,0.696168833,1,10,3.333333333,0.471404521
kimmy2,1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363
kingston1,0,0,3,0,0,0,1.044253249,3,0,0,7.874007874
kirinqueen,0,10,1,21,14.5,42.6,0.984857473,0,3,0.272727273,63.0050503
kirsty,1,0,1,0,0,0,0.36458166,4,13,13,0
kiryliuk,0,3,0,0,18,32.66666667,1.093744979,5,9,3,2.828427125
kitabparast,1,0,0,0,0,0,0,4,3.874194056,1.889718175,3.779269363
kitty_castellini,0,7,0,0,0,0,2.317147329,1,9,2.285714286,18.39143545
kjack1805,1,0,0,0,0,0,0,5,3.874194056,1.889718175,3.779269363
klbarr623,0,5,0,0,17,77,0.751901606,3,24,8,6.209669879
kmb,0,2,1,0,0,0,0.729163319,7,15,5,0
kmd,1,7,0,0,1,25.83333333,1.077247736,1,4,1.714285714,40.76362925
kmn,0,0,1,0,0,0,0.325427612,3,0,0,0
knox_s_dad,1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363
knuckle21,0,0,1,13,0,0,0.348084416,3,0,0,0
koj_b,0,1,1,0,0,0,0.325427612,4,28,15,1
korey_hood,0,0,0,0,0,0,0,5,3.874194056,1.889718175,3.779269363
kortney,0,2,0,0,0,0,0.673512028,3,12,6,2
koryandrea,0,1,0,0,24,51,0.36458166,4,19,19,0
kriss,1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363
krist_rosenberg_mads,0,8,0,0,0,0,2.801172574,2,16,2,55.4160401
kristin8,0,17,4,0,0,0,3.70637435,2,3,5.142857143,55.15659011
kristin_johnson,1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363
kristine,0,4,0,0,0,0,1.392337665,2,38,9.5,18.81986982
kristy9,0,2,0,0,0,0,0.729163319,4,37,18.5,2
kristy_dolph,0,2,1,0,0,0,0.729163319,2,127,42.66666667,8.259674462
krystle_dawn_stoots,0,18,3,0,0,0,4.558091899,2,9,0.428571429,23.94295943
lab,0,18,10,0,0,0,2.496420326,4,24,1,24.70241251
lacey1,0,7,2,0,0,0,2.41393411,3,139,15.44444444,53.58482372
lada_2008,0,6,0,0,0,0,1.728102959,7,5,1.5,7.5
ladybetes_erin,0,8,0,0,0,0,2.681728989,6,2,0.25,28.85740806
ladybug3,0,2,0,0,4,46.5,0.418957224,4,19,9.5,15
ladyj910,0,2,0,0,0,0,0.503447509,6,20,22,12
lafashionaddict,1,2,2,22.6,11.5,21.5,0.729163319,4,59,14.75,36.88749788
laila_king,0,3,0,0,0,0,1.044253249,2,25,8.333333333,12.25651754
lana,1,1,4,0,0,0,1.363521299,1,52,11.2,1.959591794
lana_m,0,0,1,0,0,0,0.36458166,1,3,3,0
lana_wallace,0,0,1,0,0,0,0.325427612,2,0,0,0
landon_and_brennen_s,1,2,4,0,0,0,0.650855223,4,0,0.833333333,2.5
lanny_nachtmann,1,1,0,0,0,0,0.325427612,2,49,49,0
larra,0,2,1,0,0,0,0.650855223,1,0,0.333333333,25.69478979
latina,0,0,2,0,0,0,0.650855223,4,5,2.5,3.5
laura,1,0,7,0,0,0,2.277993281,0,0,0,2.547507786
laura33,0,2,0,0,0,0,0.348084416,4,27,13.5,3.5
laura40,1,4,1,0,0,0,1.030658399,4,3,24.6,40.17959681
laura49,1,1,0,0,0,0,0.36458166,5,7,7,0
laura5,0,0,1,0,0,0,0.325427612,0,0,0,0
laura_anne_kilpatric,0,10,0,0,0,0,1.357612835,5,12,1.2,11.55378726
laura_g,0,0,0,0,0,0,0,1,3.874194056,1.889718175,3.779269363
laura_g1,0,3,1,0,0,0,0.825275481,3,48,20.75,14.6692706
lauren17,1,16,2,0,0,0,1.102712556,4,1,0.333333333,13.7325647
lauren3,1,0,1,0,0,0,0.348084416,1,4,4,0
laxman,0,1,1,0,0,0,0.348084416,1,1,1,0.5
layan_s_mother,0,18,6,0,0,0,1.756919325,5,15,1.75,20.39539708
ld1,1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363
ldb,1,2,1,0,0,0,0.108751128,7,14,4.666666667,0
ldrake,1,3,0,0,0,0,1.044253249,6,10,3.333333333,12.72792206
lee6,0,35,0,0,0,0,7.663761414,3,7,0.2,68.52677117
lee_reznicek,0,1,1,0,0,0,0.348084416,2,18,11,2
leelee,0,5,1,20,1.6,50.8,0.36458166,3,0,0.833333333,7.05730512
leigh2,0,2,2,0,0,0,0.650855223,1,2,0.5,36.5
leighann,0,11,12,0,0,0,1.73426252,1,119,14.52173913,63.3708442
lemontea,1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363
lenny,1,0,0,6,0,0,0,3,3.874194056,1.889718175,3.779269363
leonard_a,0,4,0,0,0,0,0.735842971,5,51,12.75,3.278719262
leslie_cruz,0,7,0,0,0,0,2.198637617,2,6,2.428571429,3.817254062
lesliebusybee,0,1,2,0,0,0,0.712666076,4,72,24,0
lester_wetzel_iii,0,2,0,0,0,0,0.40245998,2,23,13.5,2
lexisdad,0,0,1,0,0,0,0.325427612,4,12,12,0
liaquila,0,6,0,0,0,0,2.154495471,6,11,1.833333333,15.67818725
libperr,0,2,0,0,0,0,0.729163319,6,8,4,2.5
lifewithd,0,1,1,0,0,0,0.143054647,5,24,21,9
lila2,1,0,4,0,0,0,0.789556803,3,1,0.25,5.261891295
lilliana,0,0,1,0,0,0,0.36458166,0,1,1,0
lilly4,0,3,0,0,0,0,1.093744979,7,16,5.333333333,4.714045208
lilly_ann_rossberg,0,0,1,0,0,0,0.36458166,2,0,0,0
linda1,1,2,0,0,0,0,0.712666076,1,5,2.5,0
linda_eaton,0,9,4,0,0,0,2.877499229,1,40,3.076923077,37.49493062
linda_k_powell,0,2,0,0,0,0,0.526104314,2,5,4,1.5
linda_polakoff,0,7,1,0,0,0,1.467421898,0,23,3.75,19.29661564
lindsay4,1,6,1,0,0,0,0.761601625,4,0,2.285714286,13.23878039
lindsay6,0,0,1,0,0,0,0.143054647,5,1,1,0
lingy24,0,4,0,0,82.5,79.5,0.729163319,4,4,1,3.897114317
linnette,0,3,1,0,0,0,0,5,2,0.5,0
lis,0,2,1,0,0,0,0.729163319,2,28,9.333333333,0.471404521
lisa20,1,9,5,0,0,0,1.626973788,2,0,9.928571429,62.18635588
lisa42,0,3,2,2.75,9.333333333,7.666666667,1.060750492,4,4,9.6,21.55550974
lisa_dean,0,2,1,0,0,0,0.348084416,3,5,2.666666667,1.414213562
lito,0,1,1,0,0,0,0.178019898,4,8,4,0
liz,1,0,2,0,0,0,0.348084416,0,2,1,49.5
liz19,0,5,0,0,0,0,1.740422082,5,4,0.8,64.83209082
lizba,0,4,3,0,0,0,0.507636307,3,3,2.142857143,7.317856271
lizzie1,1,2,1,0,0,0,0.348084416,1,52,70.66666667,75.42472333
lizzy22,0,3,0,0,0,0,1.093744979,5,2,0.666666667,16.87206765
lizzymt,0,7,3,0,0,0,0.786315965,3,48,9.2,25.02019185
lorettaj,0,1,1,3,2,1,0.325427612,4,0,1,1
lori10,0,14,2,0,0,0,4.670701304,3,3,4.4375,19.49519171
lori_ann,1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363
lori_genstein,0,2,2,0,0,0,0.696168833,2,45,11.25,0
lorraine,1,4,1,0,0,0,0.712666076,1,3,0.6,19.53458472
lorraine_oliver,0,3,0,0,0,0,0.425221048,2,4,1.333333333,3.299831646
lotsofshots,0,0,12,9.307692308,0,0,0.966797342,3,0,0.416666667,13.71206889
louis,0,3,0,0,0,0,0.425221048,1,3,18,23.15647258
louis_patrice_cocco,0,3,0,0,0,0,1.021596444,2,47,16,0.471404521
loulou,0,3,0,0,0,0,1.093744979,4,49,16.33333333,21.04492549
lovin_life,1,0,0,0,0,0,0,6,3.874194056,1.889718175,3.779269363
luca_bertagnolio,1,2,0,0,0,0,0.696168833,1,100,50,1.5
lucy_shiro,0,1,1,0,0,0,0.690009271,2,3,19,17.5
luke,0,1,2,0,0,0,0.998939639,2,31,11,0.942809042
lukesmom,1,4,12,0,0,0,1.038093688,5,0,3.5625,21.9920973
luvfostermom,1,0,0,0,0,0,0,7,3.874194056,1.889718175,3.779269363
luvomnipod,0,2,0,0,7,5.5,0.348084416,3,2,1,19.5
lyle,0,1,2,0,0,0,0.325427612,1,0,20,28.28427125
lyna,0,2,3,0,0,0,0.907183217,6,2,0.4,0.979795897
lynn17,0,3,1,0,0,0,1.044253249,5,2,0.5,2.5
lynn_cannon,0,1,1,0,0,0,0.143054647,2,11,5.5,0
lynn_smith,1,0,0,0.095238095,0,0,0,1,3.874194056,1.889718175,3.779269363
lynnea,0,4,1,0,0,0,1.380018542,1,2,6.4,18.82126457
lysianneaudet,0,7,6,0,0,0,2.339804134,5,3,0.230769231,11.6583515
m113,0,2,2,8.5,0,23.5,0.696168833,2,29,7.25,29
m114,0,7,1,0,0,0,1.73426252,3,42,5.625,58.41219372
maclifer,0,3,1,0,0,0,0.976282835,1,4,1,0
maddie521,0,3,1,15,10.66666667,17.66666667,1.044253249,6,9,2.25,1.5
maddy,1,0,1,0,0,0,0.325427612,1,13,13,0
maggie5,1,6,2,0,0,0,2.065849693,3,7,0.875,15.63449711
magic_eraser,0,0,1,0,0,0,0.36458166,3,0,0,0
magz,0,8,0,0,0,0,1.913886456,4,2,0.25,1.984313483
mahika,0,2,0,0,0,0,0.056596792,4,14,7,2.5
maiajane,1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363
maine_jim,0,2,1,0,0,0,0.696168833,3,3,1,3.771236166
mainemom,0,12,1,0,0,0,3.788871244,5,13,1,29.56229007
mamadog,1,10,0,0,0,0,1.727516474,2,9,2.2,10.08017857
manoah,0,12,8,9.454545455,13.75,24.91666667,4.193510239,3,0,7.3,67.06034596
manohar_namasivayam,1,1,1,0,0,0,0.077136632,0,0,17.5,17.5
mar,0,14,1,16,112.8571429,105.9285714,1.837679859,4,22,4.866666667,25.72728772
marcela,0,14,0,0,162.1428571,242.2857143,0.712666076,3,5,2.071428571,49.57991899
marcia,1,1,1,0,0,0,0.673512028,2,8,4,8.5
marcia3,0,2,0,0,0,0,0.348084416,4,19,9.5,7.5
margaret2,1,4,3,0,0,0,1.408834909,1,11,1.714285714,18.39809218
margaret4,1,11,1,0,0,0,1.351508322,2,16,11.25,41.24385476
margaret_cooley,0,4,0,0,0,0,1.402675347,2,6,1.5,11.47551742
maria_bear,0,23,0,0,0,0,4.045230796,4,50,11,78.14179347
maria_lester,0,8,1,0,0,0,2.900156034,2,11,1.333333333,8.353309391
maria_r,0,2,1,0,0,0,0.712666076,2,9,3,0
mariah,0,2,0,0,0,0,0.348084416,3,2,1,12
marie8,1,5,2,0,0,0,1.458326639,3,34,5.142857143,2.547507786
mariejean,0,0,1,1,0,0,0.325427612,7,10,10,0
marilyn_bee,1,1,2,0,0,0,0.712666076,5,14,5.333333333,0.942809042
marilyn_krain,0,13,2,55,11.61538462,40.53846154,2.057822588,2,2,0.133333333,109.5837376
mario1,1,8,1,0,0,0,2.694048112,7,23,2.555555556,3.695175366
marius,0,4,0,0,0,0,1.038093688,3,17,10.5,17.99131735
marjorie,1,0,1,0,0,0,0.348084416,3,78,78,0
mark11,1,21,4,0,0,0,0.83922348,2,11,8.32,70.65019179
mark13,1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363
mark15,0,4,1,0,0,0,1.392337665,2,7,1.4,0
mark37,0,2,0,0,0,0,0.696168833,6,36,18,4.5
mark46,1,1,0,0,0,0,0.36458166,7,2,2,0
mark9,0,3,1,0,0,0,1.044253249,2,1,0.25,1.732050808
mark_horowitz,0,0,1,0,0,0,0.325427612,1,0,0,0
mark_mansheim,1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363
mark_oldham,1,8,0,0,0,0,2.453088158,3,50,7.75,16.76631668
markbu,1,0,0,0,0,0,0,4,3.874194056,1.889718175,3.779269363
markiss,0,2,1,0,0,0,0.309532094,4,6,14.66666667,17.91337179
markr,1,6,1,0,0,0,0.348084416,7,1,0.142857143,5.948760804
markymarc,1,0,0,0,0,0,0,4,3.874194056,1.889718175,3.779269363
marlon,0,10,2,0,0,0,3.480844163,3,12,1,8.577668033
marmee2two,0,0,1,2,0,0,0.325427612,5,0,0,0
marnie1,1,14,3,33.6,37.78571429,42.64285714,4.947527043,4,13,1.647058824,41.80660698
marsha_paulsen_peter,0,2,0,0,0,0,0.690009271,1,68,34,0
martin3,0,6,0,0,0,0,1.873706851,6,36,6,4.163331999
martin_j_spielman,0,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363
marty50,0,5,1,0,0,0,1.822908298,7,21,3.5,0
mary28,0,8,1,7,24.875,36.5,1.173894995,2,13,1.444444444,88.32823186
mary34,1,2,0,0,38.5,246.5,0.325427612,3,3,3,1.5
mary4,0,10,0,0,0,0,3.579827623,1,15,1.5,42.89941725
mary_anne_caudill,0,0,0,0,0,0,0,1,3.874194056,1.889718175,3.779269363
mary_lou,0,1,1,0,0,0,0.129106649,3,40,23,3
mary_r,0,3,0,0,0,0,0.673512028,4,12,13.66666667,11.86029792
marybeth,0,8,3,0,0,0,0.690009271,1,8,7,29.19866407
marybeth1,0,2,0,0,0,0,0.325427612,1,30,18,3
maryjo_armin,0,5,1,0,0,0,1.038093688,2,26,5.666666667,3.590109871
marypat,1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363
mas,0,4,0,0,0,0,0.308546528,7,7,1.75,8.31790238
massimo,0,0,0,0,0,0,0,4,3.874194056,1.889718175,3.779269363
mat,1,9,1,0,0,0,3.132759747,2,8,0.8,34.91776052
max_morneault,1,0,0,0,0,0,0,4,3.874194056,1.889718175,3.779269363
mayumi,1,0,0,0,0,0,0,1,3.874194056,1.889718175,3.779269363
mbbarbee,0,3,0,0,33.33333333,20,1.093744979,3,12,4,11.3137085
mcbatman,0,0,0,0,0,0,0,5,3.874194056,1.889718175,3.779269363
mcdonald,0,0,2,0,0,0,0.650855223,0,0,0,1.5
mcfc1987,1,5,2,2.1875,3,87.8,1.139680211,6,5,1,1.772810521
mdgarnett,0,2,1,4,0,36,0.464129192,5,0,2,2.828427125
meegsd,0,2,0,0,23.5,7,0.712666076,3,4,20,18
meg,0,3,1,0,0,0,1.093744979,0,4,1,6.92820323
meg2,0,1,3,0,0,0,1.022218067,1,0,7.5,12.36931688
megan2,0,8,1,0,0,0,2.105003741,1,38,4.222222222,18.00274328
megan9,0,2,0,0,0,0,0.507636307,2,12,14.5,8.5
megan_reese,0,0,1,0,0,0,0.325427612,1,7,7,0
meghan4,0,2,2,0,0,0,0.758928806,3,0,1.75,6.05702072
mel,0,3,0,0,0,0,0.976282835,0,42,14,22.99275248
mel6,0,3,1,46,150,115,1.044253249,3,1,0.25,0
melanie8,1,0,0,0,0,0,0,4,3.874194056,1.889718175,3.779269363
melanie_hofmann,0,9,0,0,0,0,0.897677967,3,33,6.888888889,16.3261511
melinda2,1,0,1,0,0,0,0.36458166,2,0,0,0
melissa12,1,0,0,0,0,0,0,1,3.874194056,1.889718175,3.779269363
melissa29,0,7,1,0,0,0,2.552071618,6,41,5.125,8.703447593
melissa_oneill,0,2,1,0,0,0,0.729163319,5,3,1,8.485281374
melissa_probst,0,3,0,0,0,0,1.038093688,2,3,1,18.38477631
mevsdiabetes,0,3,5,0,0,0,0.998939639,4,0,0.875,3.1124749
mf44srq,1,1,0,0,0,0,0.348084416,5,2,2,0
mfan5,0,8,3,0,0,0,1.347024056,4,13,5.636363636,15.3945359
mfy,0,1,1,5,10,17,0.348084416,2,3,1.5,2
mg1,0,3,0,0,0,0,1.044253249,4,2,0.666666667,5.656854249
michael17,0,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363
michael_b_johnson_jr,0,4,0,0,0,0,0.673512028,2,9,14.5,17.62632974
michael_barker,1,19,4,0,0,0,5.65843517,2,29,1.260869565,6.619270715
michael_chappell,0,8,9,0,0,0,0.568275695,2,1,4.529411765,22.22937985
michael_faust,0,4,0,0,0,0,1.021596444,2,25,9.25,7.794228634
michael_hutch,1,0,69,0,0,0,4.766585397,2,2,0.086956522,27.41133383
michael_mason,0,4,0,0,0,0,1.402675347,2,33,8.25,3.535533906
michael_mc_cann,0,1,1,0,0,0,0.348084416,1,0,1,1
michael_watson,1,19,0,0,0,0,3.63185419,4,10,0.526315789,116.1023047
michaela1,0,12,2,0,0,0,1.986773916,5,1,11.14285714,72.32385357
michele_magee,0,2,0,0,0,0,0.729163319,1,2,1,4.5
michele_mcwilliams,0,5,1,0,0,0,1.279809742,2,21,5.5,14.63728117
michele_p,1,0,0,0,0,0,0,7,3.874194056,1.889718175,3.779269363
michelle10,1,0,0,0,0,0,0,1,3.874194056,1.889718175,3.779269363
michelle11,1,13,5,0,0,0,2.732199003,1,5,2.5,20.71738103
michelle18,1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363
michelle19,0,2,0,0,0,0,0.729163319,2,24,12,1
michelle24,0,2,6,0,0,0,0.348084416,3,2,0.375,33.290389
michelle3,0,5,0,0,0,0,0.712666076,1,4,2.2,3.286335345
michelle46,1,0,1,0,0,0,0.325427612,6,0,0,0
michelle_de_guzman,0,0,2,0,0,0,0.418957224,1,36,37.5,19.5
michelle_garcia,0,1,2,0,0,0,0.325427612,2,2,1,0.471404521
michelle_johnson,0,6,4,0,0,0,1.794797646,2,26,11.5,36.08822523
